id_car2,C,12;id_commune,C,10;id_ins_1,C,10;id_epci
00135-09056;00135;0000-0357;000000000
00135-09057;00135;0000-0357;000000000
00135-09058;00135;0000-0357;000000000
00135-09059;00135;0000-0357;000000000
00135-09060;00135;0000-0358;000000000
00135-09061;00135;0000-0358;000000000
00135-09062;00135;0000-0358;000000000
00135-09063;00135;0000-0358;000000000
00135-09064;00135;0000-0358;000000000
00135-09065;00135;0000-0359;000000000
00135-09066;00135;0000-0359;000000000
00135-09067;00135;0000-0359;000000000
00135-09068;00135;0000-0359;000000000
00284-09125;00284;0000-0370;000000000
00284-09126;00284;0000-0371;000000000
00284-09127;00284;0000-0371;000000000
00284-09128;00284;0000-0371;000000000
00284-09129;00284;0000-0371;000000000
00284-09130;00284;0000-0371;000000000
00284-09131;00284;0000-0372;000000000
00284-09132;00284;0000-0372;000000000
00284-09133;00284;0000-0372;000000000
00284-09134;00284;0000-0372;000000000
00165-09135;00165;0000-0372;000000000
00165-09136;00165;0000-0373;000000000
00165-09137;00165;0000-0373;000000000
00165-09138;00165;0000-0373;000000000
00165-09139;00165;0000-0373;000000000
00165-09140;00165;0000-0373;000000000
00165-09141;00165;0000-0374;000000000
00165-09142;00165;0000-0374;000000000
00165-09143;00165;0000-0374;000000000
00165-09144;00165;0000-0374;000000000
00165-09145;00165;0000-0374;000000000
00165-09146;00165;0000-0375;000000000
00165-09147;00165;0000-0375;000000000
00165-09148;00165;0000-0375;000000000
00165-09149;00165;0000-0375;000000000
00165-09150;00165;0000-0375;000000000
00165-09151;00165;0000-0376;000000000
00135-09152;00135;0000-0376;000000000
00135-09153;00135;0000-0376;000000000
00135-09154;00135;0000-0376;000000000
00135-09155;00135;0000-0376;000000000
00135-09156;00135;0000-0377;000000000
00135-09157;00135;0000-0377;000000000
00135-09158;00135;0000-0377;000000000
00135-09159;00135;0000-0377;000000000
00135-09160;00135;0000-0377;000000000
00135-09161;00135;0000-0378;000000000
00135-09162;00135;0000-0378;000000000
00135-09163;00135;0000-0378;000000000
00135-09164;00135;0000-0378;000000000
00135-09165;00135;0000-0378;000000000
00135-09166;00135;0000-0379;000000000
00135-09167;00135;0000-0379;000000000
00135-09168;00135;0000-0379;000000000
00135-09169;00135;0000-0379;000000000
00135-09170;00135;0000-0379;000000000
00135-09171;00135;0000-0380;000000000
00135-09172;00135;0000-0380;000000000
00135-09173;00135;0000-0380;000000000
00135-09174;00135;0000-0380;000000000
00135-09175;00135;0000-0380;000000000
00135-09176;00135;0000-0381;000000000
00135-09177;00135;0000-0381;000000000
00135-09178;00135;0000-0381;000000000
00135-09179;00135;0000-0381;000000000
00135-09180;00135;0000-0381;000000000
00135-09181;00135;0000-0382;000000000
00135-09182;00135;0000-0382;000000000
00135-09183;00135;0000-0382;000000000
00135-09184;00135;0000-0382;000000000
00135-09185;00135;0000-0382;000000000
00135-09186;00135;0000-0383;000000000
00135-09187;00135;0000-0383;000000000
00135-09188;00135;0000-0383;000000000
00135-09189;00135;0000-0383;000000000
00135-09190;00135;0000-0383;000000000
00284-09245;00284;0000-0370;000000000
00284-09246;00284;0000-0370;000000000
00284-09247;00284;0000-0371;000000000
00284-09248;00284;0000-0371;000000000
00284-09249;00284;0000-0371;000000000
00284-09250;00284;0000-0371;000000000
00284-09251;00284;0000-0371;000000000
00284-09252;00284;0000-0372;000000000
00284-09253;00284;0000-0372;000000000
00284-09254;00284;0000-0372;000000000
00284-09255;00284;0000-0372;000000000
00284-09256;00284;0000-0372;000000000
00284-09257;00284;0000-0373;000000000
00284-09258;00284;0000-0373;000000000
00284-09259;00284;0000-0373;000000000
00165-09260;00165;0000-0373;000000000
00165-09261;00165;0000-0373;000000000
00165-09262;00165;0000-0374;000000000
00165-09263;00165;0000-0374;000000000
00165-09264;00165;0000-0374;000000000
00165-09265;00165;0000-0374;000000000
00165-09266;00165;0000-0374;000000000
00165-09267;00165;0000-0375;000000000
00165-09268;00165;0000-0375;000000000
00165-09269;00165;0000-0375;000000000
00165-09270;00165;0000-0375;000000000
